"Country","ISO3","Region","income category","HepBintroduced","HepBintroducedBirth","HepB3dose","HepBbirth","schedule","PreU5EstPre","PreU5EstPreLowCI","PreU5EstPreHighCI","PreU5EstCar","PreU5EstCarLowCI","PreU5EstCarHighCI","PreGPEstPre","PreGPEstPreLowCI","PreGPEstPreHighCI","PreGPEstCar","PreGPEstCarLowCI","PreGPEstCarHighCI","PostU5EstPre","PostU5EstPreLowCI","PostU5EstPreHighCI","PostU5EstCar","PostU5EstCarLowCI","PostU5EstCarHighCI","PostGPEstPre","PostGPEstPreLowCI","PostGPEstPreHighCI","PostGPEstCar","PostGPEstCarLowCI","PostGPEstCarHighCI","NumCarPrevU5","NumCarPrevU5LowCI","NumCarPrevU5HighCI","NumCarPrevGP","NumCarPrevGPLowCI","NumCarPrevGPHighCI","pop1990","pop1991","pop1992","pop1993","pop1994","pop1995","pop1996","pop1997","pop1998","pop1999","pop2000","pop2001","pop2002","pop2003","pop2004","pop2005","pop2006","pop2007","pop2008","pop2009","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","U51990","U51995","U52000","U52005","U52010","U52015","births-1980-1985","births-1985-1990","births-1990-1995","births-1995-2000","births-2000-2005","births-2005-2010","births-2010-2015","InfMort1985-1990","InfMort1990-1995","InfMort1995-2000","InfMort2000-2005","InfMort2005-2010","InfMort2010-2015","UrbPop1990","UrbPop1995","UrbPop2000","UrbPop2005","UrbPop2010","UrbPop2015","Cov_HepB_BD_2015","Cov_HepB_BD_2014","Cov_HepB_BD_2013","Cov_HepB_BD_2012","Cov_HepB_BD_2011","Cov_HepB_BD_2010","Cov_HepB_BD_2009","Cov_HepB_BD_2008","Cov_HepB_BD_2007","Cov_HepB_BD_2006","Cov_HepB_BD_2005","Cov_HepB_BD_2004","Cov_HepB_BD_2003","Cov_HepB_BD_2002","Cov_HepB_BD_2001","Cov_HepB_BD_2000","Cov_HepB3_2015","Cov_HepB3_2014","Cov_HepB3_2013","Cov_HepB3_2012","Cov_HepB3_2011","Cov_HepB3_2010","Cov_HepB3_2009","Cov_HepB3_2008","Cov_HepB3_2007","Cov_HepB3_2006","Cov_HepB3_2005","Cov_HepB3_2004","Cov_HepB3_2003","Cov_HepB3_2002","Cov_HepB3_2001","Cov_HepB3_2000","Cov_HepB3_1999","Cov_HepB3_1998","Cov_HepB3_1997","Cov_HepB3_1996","Cov_HepB3_1995","Cov_HepB3_1994","Cov_HepB3_1993","Cov_HepB3_1992","Cov_HepB3_1991","Cov_HepB3_1990","PreU5EstPre-region","PreU5EstPreLowCI-region","PreU5EstPreHighCI-region","PreU5EstCar-region","PreU5EstCarLowCI-region","PreU5EstCarHighCI-region","PreGPEstPre-region","PreGPEstPreLowCI-region","PreGPEstPreHighCI-region","PreGPEstCar-region","PreGPEstCarLowCI-region","PreGPEstCarHighCI-region","PostU5EstPre-region","PostU5EstPreLowCI-region","PostU5EstPreHighCI-region","PostU5EstCar-region","PostU5EstCarLowCI-region","PostU5EstCarHighCI-region","PostGPEstPre-region","PostGPEstPreLowCI-region","PostGPEstPreHighCI-region","PostGPEstCar-region","PostGPEstCarLowCI-region","PostGPEstCarHighCI-region","NumCarPrevU5-region","NumCarPrevU5LowCI-region","NumCarPrevU5HighCI-region","NumCarPrevGP-region","NumCarPrevGPLowCI-region","NumCarPrevGPHighCI-region","PreU5EstPre-income","PreU5EstPreLowCI-income","PreU5EstPreHighCI-income","PreU5EstCar-income","PreU5EstCarLowCI-income","PreU5EstCarHighCI-income","PreGPEstPre-income","PreGPEstPreLowCI-income","PreGPEstPreHighCI-income","PreGPEstCar-income","PreGPEstCarLowCI-income","PreGPEstCarHighCI-income","PostU5EstPre-income","PostU5EstPreLowCI-income","PostU5EstPreHighCI-income","PostU5EstCar-income","PostU5EstCarLowCI-income","PostU5EstCarHighCI-income","PostGPEstPre-income","PostGPEstPreLowCI-income","PostGPEstPreHighCI-income","PostGPEstCar-income","PostGPEstCarLowCI-income","PostGPEstCarHighCI-income","NumCarPrevU5-income","NumCarPrevU5LowCI-income","NumCarPrevU5HighCI-income","NumCarPrevGP-income","NumCarPrevGPLowCI-income","NumCarPrevGPHighCI-income"
"Algeria","DZA","AFRO","Upper middle income",2001.00,2004.00,95.00,99.00,"birth, 1. 5 months",1.89,1.47,2.47,86.88,67.30,113.57,2.68,2.13,3.33,941.20,747.16,1168.89,0.21,0.14,0.31,9.79,6.54,14.07,2.32,1.84,2.87,815.29,645.64,1005.99,77.11,59.05,101.02,164.25,126.34,210.21,25912.36,26554.32,27181.09,27786.25,28362.25,28904.29,29411.41,29886.83,30335.73,30765.61,31183.66,31592.15,31995.04,32403.51,32831.09,33288.43,33777.91,34300.07,34860.71,35465.76,36117.63,36819.55,37565.84,38338.56,39113.31,39871.52,3994.21,3734.28,3087.83,2964.65,3860.20,4663.61,4272.38,4266.55,3950.96,3245.90,3098.51,4007.79,4808.21,55.37,47.66,41.91,37.25,32.59,27.66,52.08,55.99,59.91,63.83,67.52,70.72,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,97.00,97.00,97.00,,,,,95.00,95.00,95.00,95.00,95.00,95.00,94.00,91.00,90.00,80.00,83.00,81.00,,,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,3.31,2.69,4.21,6225.00,5053.00,7906.00,5.07,4.38,6.11,122322.00,105703.00,147349.00,0.72,0.53,1.03,1352.00,999.00,1926.00,4.60,3.98,5.54,110882.00,95961.00,133681.00,4871.00,3837.00,6256.00,16164.00,13044.00,20477.00
"Angola","AGO","AFRO","Upper middle income",2006.00,2016.00,64.00,,,8.40,6.70,10.57,396.52,316.14,498.71,11.41,9.46,13.80,2316.65,1921.36,2801.91,7.31,5.75,9.38,345.03,271.41,442.75,11.21,9.27,13.54,2275.74,1881.83,2750.05,51.08,5.81,97.24,762.12,617.16,941.12,12171.44,12553.44,12968.34,13403.73,13841.30,14268.99,14682.28,15088.98,15504.31,15949.76,16440.92,16983.26,17572.64,18203.36,18865.71,19552.54,20262.39,20997.68,21759.42,22549.54,23369.13,24218.56,25096.15,25998.34,26920.46,27859.30,2438.46,2799.57,3157.99,3779.98,4512.09,5158.37,2613.68,3038.85,3427.39,3819.15,4353.92,5022.31,5593.77,151.96,147.80,134.03,108.25,83.78,65.44,25.58,28.88,32.41,36.16,40.09,44.05,,,,,,,,,,,,,,,,,64.00,64.00,77.00,75.00,72.00,77.00,61.00,69.00,73.00,,,,,,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,3.31,2.69,4.21,6225.00,5053.00,7906.00,5.07,4.38,6.11,122322.00,105703.00,147349.00,0.72,0.53,1.03,1352.00,999.00,1926.00,4.60,3.98,5.54,110882.00,95961.00,133681.00,4871.00,3837.00,6256.00,16164.00,13044.00,20477.00
"Benin","BEN","AFRO","Low income",2001.00,2016.00,79.00,,,10.84,8.36,13.86,185.14,142.80,236.79,14.56,11.65,17.98,1335.86,1068.88,1649.58,9.33,6.96,12.22,159.31,118.80,208.73,14.11,11.19,17.36,1294.26,1026.43,1591.84,25.23,2.71,48.94,387.90,300.07,487.31,4978.49,5149.49,5331.80,5521.76,5714.22,5905.55,6094.25,6281.63,6470.26,6664.09,6865.95,7076.73,7295.39,7520.55,7750.00,7982.22,8216.89,8454.79,8696.91,8944.70,9199.25,9460.80,9729.16,10004.45,10286.71,10575.95,920.42,1073.01,1220.56,1376.56,1558.81,1739.04,943.42,1078.28,1231.62,1384.38,1538.80,1719.85,1899.77,113.59,102.22,93.35,84.05,74.53,67.68,34.48,36.75,38.33,39.98,41.85,43.95,,,,,,,,,,,,,,,,,79.00,75.00,74.00,81.00,75.00,76.00,79.00,75.00,82.00,74.00,70.00,75.00,73.00,15.00,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,5.94,4.67,8.81,6080.00,4779.00,9014.00,7.72,6.19,11.93,41352.00,33157.00,63952.00,5.08,3.94,7.32,5200.00,4032.00,7486.00,7.51,6.03,11.48,40245.00,32323.00,61542.00,881.00,112.00,2182.00,12450.00,9863.00,18098.00
"Botswana","BWA","AFRO","Upper middle income",1994.00,2000.00,95.00,99.00,,1.26,0.11,11.18,3.34,0.30,29.73,1.77,0.16,15.43,35.32,3.24,307.74,0.14,0.01,1.29,0.37,0.03,3.43,1.38,0.13,11.89,27.61,2.50,237.26,2.97,0.27,26.73,8.48,0.80,70.05,1377.91,1416.73,1455.83,1494.69,1532.62,1569.09,1604.06,1637.63,1669.62,1699.86,1728.34,1754.93,1779.95,1804.33,1829.33,1855.85,1884.23,1914.41,1946.35,1979.88,2014.86,2051.33,2089.31,2128.50,2168.57,2209.19,215.88,219.48,220.97,219.54,232.32,255.54,233.01,231.06,235.13,240.13,236.75,244.57,265.38,58.92,61.56,73.21,65.42,46.45,35.17,41.93,48.98,53.21,55.07,56.23,57.44,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,95.00,95.00,95.00,95.00,95.00,95.00,94.00,94.00,93.00,93.00,92.00,91.00,90.00,88.00,87.00,86.00,85.00,77.00,60.00,62.00,73.00,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,3.31,2.69,4.21,6225.00,5053.00,7906.00,5.07,4.38,6.11,122322.00,105703.00,147349.00,0.72,0.53,1.03,1352.00,999.00,1926.00,4.60,3.98,5.54,110882.00,95961.00,133681.00,4871.00,3837.00,6256.00,16164.00,13044.00,20477.00
"Burkina Faso","BFA","AFRO","Low income",2005.00,2016.00,91.00,,,9.48,7.87,11.24,297.98,247.32,353.52,12.76,11.07,14.59,1908.88,1656.81,2183.11,7.96,6.53,9.69,250.20,205.26,304.54,12.42,10.80,14.20,1858.93,1616.38,2124.46,47.66,5.27,90.47,603.37,509.10,707.45,8811.03,9050.08,9297.11,9552.47,9816.58,10089.87,10372.74,10665.54,10968.72,11282.70,11607.94,11944.58,12293.10,12654.62,13030.56,13421.93,13829.17,14252.02,14689.72,15141.09,15605.21,16081.90,16571.21,17072.72,17585.97,18110.62,1662.88,1890.76,2172.25,2486.27,2842.94,3161.23,1782.10,1976.10,2227.49,2531.72,2854.12,3173.47,3437.54,109.70,103.99,99.49,90.00,77.55,64.77,13.81,15.13,17.84,21.53,25.66,29.85,,,,,,,,,,,,,,,,,91.00,91.00,88.00,90.00,91.00,91.00,92.00,93.00,89.00,76.00,,,,,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,5.94,4.67,8.81,6080.00,4779.00,9014.00,7.72,6.19,11.93,41352.00,33157.00,63952.00,5.08,3.94,7.32,5200.00,4032.00,7486.00,7.51,6.03,11.48,40245.00,32323.00,61542.00,881.00,112.00,2182.00,12450.00,9863.00,18098.00
"Burundi","BDI","AFRO","Low income",2003.00,2016.00,94.00,,,2.08,1.71,2.53,42.97,35.17,52.13,2.90,2.48,3.40,264.32,225.66,310.38,1.70,1.34,2.14,35.08,27.58,44.08,2.79,2.39,3.28,254.53,217.72,299.04,7.74,0.85,14.87,78.60,64.56,94.36,5415.41,5542.04,5661.13,5771.39,5871.60,5962.05,6041.11,6112.09,6186.35,6278.94,6400.70,6555.82,6741.56,6953.11,7182.45,7423.28,7675.33,7939.57,8212.26,8489.03,8766.93,9043.50,9319.71,9600.18,9891.79,10199.27,1088.57,1148.73,1154.39,1279.33,1577.31,1853.26,1127.00,1306.83,1370.43,1346.57,1448.50,1765.26,2054.63,112.30,120.52,102.69,94.57,86.24,77.85,6.27,7.21,8.24,9.37,10.64,12.05,,,,,,,,,,,,,,,,,94.00,95.00,96.00,96.00,96.00,96.00,94.00,92.00,99.00,92.00,87.00,83.00,,,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,5.94,4.67,8.81,6080.00,4779.00,9014.00,7.72,6.19,11.93,41352.00,33157.00,63952.00,5.08,3.94,7.32,5200.00,4032.00,7486.00,7.51,6.03,11.48,40245.00,32323.00,61542.00,881.00,112.00,2182.00,12450.00,9863.00,18098.00
"Cabo Verde","CPV","AFRO","Lower middle income",2001.00,2002.00,93.00,93.00,,4.88,2.56,7.96,2.64,1.38,4.30,6.79,3.74,10.75,31.73,17.45,50.21,0.59,0.30,1.06,0.32,0.16,0.57,5.75,3.16,9.13,26.86,14.75,42.64,2.31,1.21,3.76,6.25,3.35,9.99,341.88,349.93,359.09,369.01,379.15,389.12,398.77,408.17,417.32,426.28,435.07,443.71,452.10,460.14,467.66,474.56,480.79,486.43,491.72,496.96,502.38,508.06,513.97,520.10,526.43,532.91,63.07,63.43,62.37,58.92,55.98,54.76,63.21,69.22,67.99,65.10,61.77,59.22,56.46,53.05,46.25,37.15,25.03,23.49,22.46,44.12,48.76,53.43,57.68,61.83,65.52,93.00,99.00,94.00,99.00,99.00,99.00,91.00,81.00,84.00,68.00,68.00,75.00,76.00,77.00,,,93.00,95.00,93.00,94.00,90.00,98.00,98.00,98.00,96.00,95.00,93.00,91.00,66.00,40.00,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,2.70,2.20,3.46,8485.00,6911.00,10875.00,3.26,2.77,4.03,84792.00,71832.00,105043.00,1.64,1.31,2.09,5148.00,4109.00,6581.00,3.13,2.66,3.85,81444.00,69166.00,100437.00,3329.00,2191.00,4914.00,19142.00,15789.00,24075.00
"Cameroon","CMR","AFRO","Lower middle income",2004.00,2016.00,84.00,,,4.34,3.57,5.41,162.38,133.34,202.35,5.99,5.12,7.18,1173.55,1004.42,1407.51,3.66,2.89,4.63,136.82,108.13,173.24,5.83,4.99,6.96,1142.82,978.55,1365.09,26.17,2.94,49.08,342.28,286.66,412.46,11715.21,12060.72,12408.93,12758.88,13109.66,13460.99,13812.47,14165.42,14523.57,14891.89,15274.23,15671.92,16084.88,16513.82,16959.08,17420.79,17899.56,18395.38,18907.00,19432.54,19970.49,20520.44,21082.38,21655.71,22239.90,22834.52,2186.32,2405.53,2611.82,2982.39,3394.75,3741.54,2162.26,2480.36,2745.38,2995.77,3353.64,3756.12,4082.78,94.65,98.15,101.85,88.50,77.18,67.54,39.65,42.57,45.54,48.54,51.51,54.38,,,,,,,,,,,,,,,,,84.00,87.00,89.00,85.00,82.00,84.00,80.00,84.00,82.00,81.00,79.00,,,,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,2.70,2.20,3.46,8485.00,6911.00,10875.00,3.26,2.77,4.03,84792.00,71832.00,105043.00,1.64,1.31,2.09,5148.00,4109.00,6581.00,3.13,2.66,3.85,81444.00,69166.00,100437.00,3329.00,2191.00,4914.00,19142.00,15789.00,24075.00
"Central African Republic","CAF","AFRO","Low income",2008.00,2016.00,47.00,,,7.87,6.39,9.73,55.72,45.22,68.88,10.70,8.89,12.78,448.38,372.66,535.64,7.22,5.83,8.87,51.11,41.27,62.82,10.65,8.83,12.74,446.37,370.20,534.08,4.39,0.43,8.49,119.06,96.49,143.52,2939.78,3014.62,3095.80,3181.22,3267.67,3352.76,3435.82,3517.30,3597.38,3676.50,3754.98,3832.20,3907.61,3981.66,4055.03,4127.91,4201.75,4275.80,4345.38,4404.23,4448.52,4476.15,4490.41,4499.65,4515.39,4546.10,501.84,549.80,612.08,671.97,713.16,728.31,521.16,583.69,638.62,714.20,783.91,826.63,837.83,109.55,113.04,115.42,113.44,105.92,93.50,36.82,37.23,37.63,38.06,38.82,40.03,,,,,,,,,,,,,,,,,47.00,47.00,23.00,47.00,47.00,45.00,42.00,,,,,,,,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,5.94,4.67,8.81,6080.00,4779.00,9014.00,7.72,6.19,11.93,41352.00,33157.00,63952.00,5.08,3.94,7.32,5200.00,4032.00,7486.00,7.51,6.03,11.48,40245.00,32323.00,61542.00,881.00,112.00,2182.00,12450.00,9863.00,18098.00
"Chad","TCD","AFRO","Low income",2007.00,2016.00,55.00,,,5.07,0.51,36.47,133.41,13.36,959.83,7.02,0.69,43.96,800.56,78.95,5013.52,4.68,0.44,33.78,123.17,11.71,889.10,6.98,0.69,43.65,796.10,78.64,4977.83,10.59,0.42,69.83,266.54,26.39,1674.90,5956.85,6150.08,6349.08,6555.60,6772.13,7000.72,7241.13,7493.25,7759.25,8041.84,8342.55,8663.01,9001.68,9353.20,9710.04,10067.00,10421.59,10775.70,11133.86,11502.78,11887.20,12288.65,12705.13,13133.58,13569.43,14009.41,1175.01,1406.31,1684.31,2008.40,2293.91,2600.64,1200.47,1397.08,1661.80,1963.83,2312.33,2638.51,2926.61,123.22,119.09,114.18,110.81,105.15,91.23,20.81,21.47,21.63,21.80,21.98,22.47,,,,,,,,,,,,,,,,,55.00,46.00,48.00,45.00,33.00,39.00,24.00,17.00,,,,,,,,,,,,,,,,,,,5.98,4.80,8.03,9559.00,7676.00,12830.00,7.87,6.58,10.06,65305.00,54580.00,83447.00,4.61,3.61,6.37,7375.00,5767.00,10182.00,7.62,6.37,9.73,63196.00,52801.00,80704.00,2180.00,1018.00,3530.00,19437.00,15815.00,25276.00,5.94,4.67,8.81,6080.00,4779.00,9014.00,7.72,6.19,11.93,41352.00,33157.00,63952.00,5.08,3.94,7.32,5200.00,4032.00,7486.00,7.51,6.03,11.48,40245.00,32323.00,61542.00,881.00,112.00,2182.00,12450.00,9863.00,18098.00
