Country,ISO3,Region,income category,HepBintroduced,HepBintroducedBirth,HepB3dose,HepBbirth,schedule,Type,PreU5EstPre,PreU5EstPreLowCI,PreU5EstPreHighCI,PreU5EstCar,PreU5EstCarLowCI,PreU5EstCarHighCI,PreGPEstPre,PreGPEstPreLowCI,PreGPEstPreHighCI,PreGPEstCar,PreGPEstCarLowCI,PreGPEstCarHighCI,PostU5EstPre,PostU5EstPreLowCI,PostU5EstPreHighCI,PostU5EstCar,PostU5EstCarLowCI,PostU5EstCarHighCI,PostGPEstPre,PostGPEstPreLowCI,PostGPEstPreHighCI,PostGPEstCar,PostGPEstCarLowCI,PostGPEstCarHighCI,NumCarPrevU5,NumCarPrevU5LowCI,NumCarPrevU5HighCI,NumCarPrevGP,NumCarPrevGPLowCI,NumCarPrevGPHighCI,pop1990,pop1991,pop1992,pop1993,pop1994,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,U51990,U51995,U52000,U52005,U52010,U52015,births-1980-1985,births-1985-1990,births-1990-1995,births-1995-2000,births-2000-2005,births-2005-2010,births-2010-2015,InfMort1985-1990,InfMort1990-1995,InfMort1995-2000,InfMort2000-2005,InfMort2005-2010,InfMort2010-2015,UrbPop1990,UrbPop1995,UrbPop2000,UrbPop2005,UrbPop2010,UrbPop2015,Cov_HepB_BD_2015,Cov_HepB_BD_2014,Cov_HepB_BD_2013,Cov_HepB_BD_2012,Cov_HepB_BD_2011,Cov_HepB_BD_2010,Cov_HepB_BD_2009,Cov_HepB_BD_2008,Cov_HepB_BD_2007,Cov_HepB_BD_2006,Cov_HepB_BD_2005,Cov_HepB_BD_2004,Cov_HepB_BD_2003,Cov_HepB_BD_2002,Cov_HepB_BD_2001,Cov_HepB_BD_2000,Cov_HepB3_2015,Cov_HepB3_2014,Cov_HepB3_2013,Cov_HepB3_2012,Cov_HepB3_2011,Cov_HepB3_2010,Cov_HepB3_2009,Cov_HepB3_2008,Cov_HepB3_2007,Cov_HepB3_2006,Cov_HepB3_2005,Cov_HepB3_2004,Cov_HepB3_2003,Cov_HepB3_2002,Cov_HepB3_2001,Cov_HepB3_2000,Cov_HepB3_1999,Cov_HepB3_1998,Cov_HepB3_1997,Cov_HepB3_1996,Cov_HepB3_1995,Cov_HepB3_1994,Cov_HepB3_1993,Cov_HepB3_1992,Cov_HepB3_1991,Cov_HepB3_1990,PreU5EstPre-region,PreU5EstPreLowCI-region,PreU5EstPreHighCI-region,PreU5EstCar-region,PreU5EstCarLowCI-region,PreU5EstCarHighCI-region,PreGPEstPre-region,PreGPEstPreLowCI-region,PreGPEstPreHighCI-region,PreGPEstCar-region,PreGPEstCarLowCI-region,PreGPEstCarHighCI-region,PostU5EstPre-region,PostU5EstPreLowCI-region,PostU5EstPreHighCI-region,PostU5EstCar-region,PostU5EstCarLowCI-region,PostU5EstCarHighCI-region,PostGPEstPre-region,PostGPEstPreLowCI-region,PostGPEstPreHighCI-region,PostGPEstCar-region,PostGPEstCarLowCI-region,PostGPEstCarHighCI-region,NumCarPrevU5-region,NumCarPrevU5LowCI-region,NumCarPrevU5HighCI-region,NumCarPrevGP-region,NumCarPrevGPLowCI-region,NumCarPrevGPHighCI-region,PreU5EstPre-income,PreU5EstPreLowCI-income,PreU5EstPreHighCI-income,PreU5EstCar-income,PreU5EstCarLowCI-income,PreU5EstCarHighCI-income,PreGPEstPre-income,PreGPEstPreLowCI-income,PreGPEstPreHighCI-income,PreGPEstCar-income,PreGPEstCarLowCI-income,PreGPEstCarHighCI-income,PostU5EstPre-income,PostU5EstPreLowCI-income,PostU5EstPreHighCI-income,PostU5EstCar-income,PostU5EstCarLowCI-income,PostU5EstCarHighCI-income,PostGPEstPre-income,PostGPEstPreLowCI-income,PostGPEstPreHighCI-income,PostGPEstCar-income,PostGPEstCarLowCI-income,PostGPEstCarHighCI-income,NumCarPrevU5-income,NumCarPrevU5LowCI-income,NumCarPrevU5HighCI-income,NumCarPrevGP-income,NumCarPrevGPLowCI-income,NumCarPrevGPHighCI-income
Afghanistan,AFG,EMRO,Low income,2006,2014,78,18,"birth; 6, 10, 14 weeks;",HepB monovalent; DTwPHibHepB,1.4,0.9,2,67,44,99,1.3,0.9,1.9,438,289,630,0.5,0.3,0.8,25,14,39,1.1,0.7,1.6,362,235,524,43,27,63,161,103,233,12249.114,12993.657,13981.231,15095.099,16172.719,17099.541,17822.884,18381.605,18863.999,19403.676,20093.756,20966.463,21979.923,23064.851,24118.979,25070.798,25893.45,26616.792,27294.031,28004.331,28803.167,29708.599,30696.958,31731.688,32758.02,33736.494,2377.868,3325.481,4011.626,4783.592,5199.364,5239.401,3149.701,2982.985,3570.874,4569.075,5287.21,5709.012,5651.992,133.93,111.164,98.577,89.45,76.725,68.558,18.316,19.757,21.282,22.895,24.689,26.703,18,4,,,,,,,,,,,,,,,78,75,70,67,68,66,63,64,63,,,,,,,,,,,,,,,,,,4.6,3.5,6.1,3620,2743,4822,4.2,3.3,5.5,27016,21222,35614,1.6,1.2,2.1,1339,968,1817,3.3,2.6,4.3,21336,16831,27906,2277,1608,3202,8441,6394,11314,8.3,6,12.6,8468,6106,12909,7.9,5.8,12.6,50684,37266,80493,3.4,2.29,5.55,3483,2341,5676,6.37,4.65,10.29,40633,29675,65676,4954,3369,7698,17920,12878,27487
Angola,AGO,AFRO,Upper middle income,2006,2016,64,,"2, 4, 6 months;",DTwPHibHepB,11.7,9,15.4,551,422,724,11.6,9,14.5,2905,2249,3638,4.9,3.3,6.8,229,155,322,9.4,7.2,11.8,2351,1790,2958,322,235,432,1110,833,1433,12171.441,12553.446,12968.345,13403.734,13841.301,14268.994,14682.284,15088.981,15504.318,15949.766,16440.924,16983.266,17572.649,18203.369,18865.716,19552.542,20262.399,20997.687,21759.42,22549.547,23369.131,24218.565,25096.15,25998.34,26920.466,27859.305,2438.46,2799.573,3157.992,3779.984,4512.092,5158.374,2613.685,3038.859,3427.399,3819.154,4353.924,5022.313,5593.779,151.96,147.8,134.037,108.252,83.783,65.446,25.582,28.88,32.419,36.169,40.097,44.05,,,,,,,,,,,,,,,,,64,64,77,75,72,77,61,69,73,,,,,,,,,,,,,,,,,,7.9,5.8,11.1,12545,9295,17765,7.6,5.8,10.6,75409,57512,104420,3,2,4.7,4883,3334,7571,6.1,4.6,8.5,59863,45409,83665,7631,5388,10905,26758,19760,37788,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
Albania,ALB,EURO,Upper middle income,1993,2000,98,99,"birth; 2, 4, 6 months;",HepB_Pediatric; DTwPHibHepB,12.7,10.1,15.8,23,19,29,12.7,10.5,15.4,367,304,446,1.3,0.8,1.9,2,2,4,9.4,7.8,11.4,272,225,330,21,16,27,99,78,125,3281.454,3275.431,3240.587,3189.583,3140.595,3106.736,3092.228,3093.041,3103.759,3115.576,3121.97,3122.408,3119.029,3111.005,3097.747,3079.179,3054.331,3023.907,2991.651,2962.635,2940.525,2926.659,2920.039,2918.978,2920.775,2923.352,388.493,334.432,278.753,219.025,173.969,171.783,372.76,404.909,368.313,290.705,224.418,179.589,176.621,37.834,30.739,26.301,21.147,16.756,14.593,36.428,38.911,41.741,46.731,52.163,57.407,99,99,99,97,97,99,98,98,98,99,99,99,98,99,98,98,98,98,99,99,99,99,98,99,98,98,98,99,97,96,96,96,96,94,97,96,88,99,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
Andorra,AND,EURO,High income,1991,,94,94,"birth; 2, 6, 12 months;",HepB_Pediatric; DTaPHibHepIPV,0.8,0.1,13.5,0,0,1,0.8,0.1,13.3,0,0,6,0.1,0,1.7,0,0,0,0.6,0,10.2,0,0,4,0,0,0,0,0,1,54.509,56.671,58.888,60.971,62.677,63.85,64.36,64.327,64.142,64.37,65.39,67.341,70.049,73.182,76.244,78.867,80.991,82.683,83.861,84.462,84.449,83.751,82.431,80.788,79.223,78.014,,,,,,,,,,,,,,,,,,,,94.712,93.661,92.395,90.295,87.817,85.115,94,94,96,95,93,94,94,98,98,98,97,97,96,,,,94,96,94,97,99,96,96,94,91,84,79,77,81,84,84,84,75,80,75,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
United Arab Emirates,ARE,EMRO,High income,1992,2000,94,96,"birth; 2, 4 months; 1st contact; +1, +6 months;",HepB_Pediatric; DTaPHibHepIPV; HepB_Adult (and high risk groups),0.8,0.4,1.3,4,2,7,0.8,0.4,1.3,70,37,118,0.1,0,0.1,0,0,1,0.6,0.3,1,52,27,90,3,2,6,17,9,30,1860.174,1970.026,2086.639,2207.405,2328.686,2448.82,2571.02,2700.01,2838.145,2988.162,3154.925,3326.032,3507.232,3741.932,4087.931,4579.562,5242.032,6044.067,6894.278,7666.393,8270.684,8672.475,8900.453,9006.263,9070.867,9154.302,232.409,234.8,267.439,299.141,430.946,470.66,185.81,231.787,247.131,250.57,298.066,408.955,468.768,21.684,16.471,12.382,9.221,6.882,6.226,79.051,78.319,80.236,82.262,84.055,85.541,96,91,96,96,97,98,98,98,98,98,98,98,98,98,98,98,94,94,94,94,94,94,93,92,92,92,92,92,92,92,92,92,92,96,90,90,90,90,90,,,,4.6,3.5,6.1,3620,2743,4822,4.2,3.3,5.5,27016,21222,35614,1.6,1.2,2.1,1339,968,1817,3.3,2.6,4.3,21336,16831,27906,2277,1608,3202,8441,6394,11314,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Argentina,ARG,PAHO,Upper middle income,2001,2004,94,84,"birth; 2, 4, 6, 15-18 months; ",HepB_Pediatric; DTwPHibHepB; HepB_Adult,0.1,0.1,0.1,3,2,4,0.1,0.1,0.1,35,26,50,0,0,0,0,0,1,0.1,0.1,0.1,28,20,40,3,2,4,8,6,12,32729.739,33193.918,33655.151,34110.917,34558.115,34994.814,35419.682,35833.969,36241.59,36648.068,37057.452,37471.509,37889.37,38309.379,38728.696,39145.488,39558.89,39970.224,40382.389,40799.407,41223.889,41656.879,42096.739,42539.925,42981.515,43417.765,3414.603,3517.911,3471.917,3594.876,3645.443,3718.139,3382.365,3504.839,3608.661,3556.068,3658.866,3708.166,3770.839,27.128,24.353,21.847,15.039,14.606,13.689,86.984,88.164,89.142,90.084,90.966,91.751,84,87,85,88,85,79,81,79,76,72,71,65,,,,,94,94,94,91,91,94,94,90,85,84,88,81,73,66,,,,,,,,,,,,,0.9,0.6,2.4,675,417,1790,0.9,0.6,2.1,8345,5485,20385,0.2,0.1,0.5,133,73,406,0.7,0.4,1.6,6623,4359,16088,540,330,1395,2072,1320,5198,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
Armenia,ARM,EURO,Lower middle income,1999,2000,94,98,"birth; 6, 12, 18 weeks; 18 months; ",HepB_Pediatric; DTwPHibHepB; HepB_Adult (risk groups),2.6,0.4,16.9,5,1,35,2.6,0.4,16.8,77,13,508,0.3,0,2.1,1,0,4,2.1,0.4,13.9,64,11,418,5,1,31,15,3,96,3538.165,3505.251,3442.81,3363.098,3283.66,3217.342,3168.215,3133.086,3108.684,3089.017,3069.588,3050.655,3033.897,3017.806,3000.612,2981.259,2958.5,2933.056,2908.22,2888.584,2877.311,2875.581,2881.922,2893.509,2906.22,2916.95,385.616,290.039,196.554,186.628,201.083,206.147,391.784,406.07,323.742,211.85,203.412,220.933,210.753,47.978,44.109,35.016,26.997,21.004,13.219,67.421,66.057,64.666,64.184,63.58,62.673,98,98,98,95,95,94,92,91,92,92,93,94,95,95,96,97,94,93,95,95,95,94,93,89,85,78,91,91,93,91,69,55,,,,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,4,3,6,12551,9367,18748,3.6,2.8,5.5,105876,81134,161331,1.25,0.87,2.08,3936,2749,6544,2.97,2.28,4.56,86777,66614,133271,8595,6143,12776,30465,22763,45774
Antigua and Barbuda,ATG,PAHO,High income,2000,2016,99,,"2, 4, 6 months; 2, 4, 6 months; 1st contact; +6 weeks; +6 months;",DTwPHibHepB; DTwPHibHepBIPV; HepB_Adult,1.5,0.2,14,0,0,1,1.5,0.2,14.9,1,0,14,0.4,0,4.1,0,0,0,1.2,0.1,12.5,1,0,11,0,0,1,0,0,3,66.696,67.307,68.427,69.938,71.719,73.619,75.628,77.739,79.851,81.831,83.584,85.057,86.266,87.293,88.257,89.253,90.301,91.381,92.478,93.581,94.661,95.719,96.777,97.824,98.875,99.923,7.363,6.766,8.261,8.447,8.119,8.036,7.449,6.795,6.708,8.177,8.63,8.283,8.162,22.308,18.24,14.917,12.21,10.014,9.106,35.426,33.961,32.127,29.219,26.239,23.773,,,,,,,,,,,,,,,,,99,99,99,98,99,98,98,98,97,99,99,97,99,99,96,,,,,,,,,,,,0.9,0.6,2.4,675,417,1790,0.9,0.6,2.1,8345,5485,20385,0.2,0.1,0.5,133,73,406,0.7,0.4,1.6,6623,4359,16088,540,330,1395,2072,1320,5198,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Australia,AUS,WPRO,High income,2000,2016,93,,"birth; 2, 4, 6 months; 10-15 years;",HepB_Pediatric; DTaPHibHepIPV; HepB_Adult,0.5,0.4,0.7,8,6,11,0.5,0.4,0.7,127,92,170,0.2,0.1,0.2,2,1,4,0.5,0.3,0.6,110,80,149,6,4,8,20,14,28,17041.431,17271.874,17485.948,17687.479,17882.737,18076.743,18271.685,18467.588,18665.045,18864.112,19065.837,19268.533,19475.191,19696.972,19948.429,20238.903,20573.606,20946.664,21342.493,21739.04,22120.064,22479.799,22821.849,23150.729,23474.668,23799.556,1261.641,1303.522,1282.549,1271.578,1457.825,1545.117,1181.185,1236.842,1296.231,1255.317,1257.036,1457.04,1524.935,8.658,6.511,5.459,4.943,4.408,3.873,85.4,86.106,87.165,88,88.733,89.423,,,,,,,,,,,,,,,,,93,91,91,91,92,92,94,94,94,95,95,95,95,95,94,,,,,,,,,,,,7.3,5.7,9.2,8634,6791,10882,7.3,6,8.9,135566,109881,165204,0.9,0.6,1.3,1096,760,1525,6.2,5.1,7.6,114754,93088,139501,7547,5755,9539,23990,19015,29870,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Austria,AUT,EURO,High income,1999,2016,98,,"2, 4, 11 months; 12 years;",DTaPHibHepIPV; HepB_Pediatric (free catch up until Y14),1.1,0.6,2.1,5,2,8,1.1,0.6,2.1,98,48,179,0.3,0.2,0.6,1,1,3,1,0.5,1.9,87,44,162,3,2,6,12,6,23,7723.949,7772.701,7830.933,7892.086,7947.209,7990.121,8017.863,8032.876,8041.05,8051.113,8069.276,8097.748,8134.412,8175.852,8216.805,8253.65,8284.735,8311.783,8338.453,8370.038,8409.949,8459.864,8517.548,8577.782,8633.22,8678.657,428.845,472.413,416.399,398.127,390.936,407.014,447.278,429.652,456.698,416.565,391.628,386.98,403.513,9.153,6.877,4.742,4.475,3.762,3.328,65.765,65.8,65.8,65.824,65.852,65.968,,,,,,,,,,,,,,,,,98,98,95,92,89,86,83,83,85,83,86,83,83,81,44,33,,,,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
