Country,WHO region,ISO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,post vaccination,,,,,,,,,,,,number of carriers prevented ('000s),,,,,,,,,pre vaccination,,,,,,post vaccination,,,,,Difference,
,,,Year,< 5 years,,,< 5 years,,,General population,,,General population,,,< 5 years,Lower CI,Upper CI,General population,Lower CI,Upper CI,,,,Total pop,,,,,,Total Pop,,,,,,
,,,,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers,Lower CI,Upper CI,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI,,,,,,,,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers,Lower CI,Upper CI,Estimated prevalence %,Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI,Estimated number of carriers('000s),Lower CI,Upper CI
,,,,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Algeria,AFRO,DZA,2020,0.08,0.06,0.1,3.9,2.8,5.3,2.56,2.02,3.19,993.1,782.8,1236.6,134.7,105.4,170.8,247.3,195.1,313.6,,3.12,2.46,3.92,1368.6,1079.1,1718.6,2.27,1.79,2.83,996.6,785.5,1242.1,373.1,294.5,471.3
Angola,AFRO,AGO,2020,4.57,3.64,5.62,264.6,211,325.9,11.41,9.38,13.61,3088.5,2538.7,3684.7,415.4,342.8,494.2,1169.7,965,1400.8,,12.95,10.74,15.46,4254.9,3528.3,5081.4,10.2,8.36,12.16,3351.2,2747.6,3998.1,910.5,755.7,1074.1
Benin,AFRO,BEN,2020,2.87,2.4,3.44,54.7,45.8,65.7,10.45,9.3,11.89,1067.8,949.9,1215,171,148.3,199.5,401.3,352.9,461,,13.12,11.67,14.88,1590.9,1414.6,1804.2,9.26,8.24,10.52,1122.2,998.7,1275,468.2,410.1,537.6
Botswana,AFRO,BWA,2020,0.18,0.08,0.38,0.5,0.2,1,0.88,0.39,1.79,18.3,8.2,37.3,2.5,1.1,5.1,9.2,4.2,18.5,,1.26,0.56,2.53,29.6,13.3,59.5,0.8,0.36,1.63,18.8,8.4,38.3,10.6,4.8,21.2
Burkina Faso,AFRO,BFA,2020,1.66,1.39,1.93,57.6,48.2,66.9,7.58,6.87,8.36,1321.7,1197.8,1457.3,237.1,208.9,267.3,520.7,467.8,580.3,,9.4,8.53,10.4,1965.5,1782.8,2173.5,6.6,5.98,7.28,1379.2,1249.7,1521,586.3,524.2,655.6
Burundi,AFRO,BDI,2020,1.35,0.81,2.11,27.8,16.5,43.3,6.42,3.96,9.6,631.9,389.9,944.7,127.3,78,186.6,266.5,163.2,394.8,,8.37,5.13,12.44,994.8,609.8,1478.6,5.55,3.43,8.3,660.3,407.6,987.3,334.8,206.4,494.1
Cabo Verde,AFRO,CPV,2020,0.26,0.17,0.37,0.1,0.1,0.2,7.58,5.46,10.08,38.2,27.5,50.8,4.3,3.1,5.8,11.2,8,14.8,,9.62,6.94,12.73,53.5,38.6,70.8,6.9,4.97,9.17,38.3,27.6,51,15.1,10.9,19.9
Cameroon,AFRO,CMR,2020,1.75,1.49,2.05,72.1,61.1,84.3,7.52,6.82,8.24,1685.8,1530.2,1848.3,270.6,238.2,304.9,620,556.1,691.2,,9.26,8.41,10.2,2458.2,2233.8,2708.4,6.62,6.01,7.26,1758.2,1595.6,1928,700.4,626.1,779.5
Central African Republic,AFRO,CAF,2020,3.75,3.21,4.38,27.7,23.7,32.3,8.26,7.25,9.46,337.9,296.7,387.1,31,26.5,36.6,114.6,100.5,132,,8.86,7.81,10.14,428,377.4,489.6,7.57,6.67,8.66,365.6,322.2,418.1,62.3,54,73
Chad,AFRO,TCD,2020,10.79,9.15,12.78,316.3,268,374.6,21.19,18.51,24.28,2859.1,2498.6,3277.2,283.8,238.9,327,1005.2,881,1152.6,,22.33,19.46,25.67,3668.5,3197.2,4217.2,19.34,16.84,22.23,3177,2766.2,3651.5,494.7,421.2,563.5
Comoros,AFRO,COM,2020,1.16,0.15,6.73,1.4,0.2,8.3,5.68,0.76,25.21,42.4,5.6,188.1,6.1,0.8,26.3,14.1,1.9,64.4,,6.96,0.93,30.62,60.6,8.1,266.3,5.05,0.67,22.59,43.9,5.9,196.4,16.5,2.2,69.9
Congo,AFRO,COG,2020,2.56,1.94,3.31,21,16,27.2,10.09,8.18,12.27,474,384.2,576.4,64.7,52.4,80.7,160.6,129.4,198.9,,11.67,9.46,14.26,643.8,521.8,787,8.97,7.27,10.93,495,400.9,603.3,148.1,121.9,182.2
Ivory Coast,AFRO,CIV,2020,3.44,2.9,4.06,142.3,119.9,167.9,12.02,10.91,13.32,2675.1,2426.9,2963.7,421.5,370.9,480.5,1013.6,910.5,1137.3,,15.11,13.68,16.76,3984.6,3608.6,4421.5,10.69,9.67,11.82,2820,2551.4,3118.2,1166,1046.8,1307.4
Democratic Republic pf the Congo,AFRO,COD,2020,3.28,2.55,4.2,518.4,404.4,664.1,12.37,9.84,15.11,9123.4,7254.4,11139.4,1562.8,1225.6,1954.7,3490.9,2772.2,4280.7,,14.53,11.55,17.7,13012.8,10341.7,15849.4,10.78,8.57,13.18,9652,7673.8,11805.3,3346.7,2636,4109.1
Equatorial Guinea,AFRO,GNQ,2020,6.07,5.06,7.21,12.1,10.1,14.4,9.14,7.8,10.73,109.9,93.8,129.2,3.9,3.3,4.7,26.7,22.6,31.5,,8.98,7.67,10.52,126,107.5,147.5,8.7,7.43,10.19,122.1,104.3,143,3.9,3.3,4.7
Eritrea,AFRO,ERI,2020,1.02,0.59,1.71,5,2.9,8.4,4.92,2.94,7.76,150.2,89.8,236.8,23.7,13.9,37.6,62.2,37,98.6,,6.52,3.89,10.24,231.1,138,363,4.38,2.61,6.92,155.5,92.7,245.4,75.8,45.3,118.9
Ethiopia,AFRO,ETH,2020,1.59,1.36,1.85,267.3,228.2,311.1,5.48,4.93,6.13,5375.3,4841.8,6013.3,656.6,563.4,756.8,1695.1,1504.3,1912.5,,6.16,5.56,6.91,7082.9,6387.2,7948.6,4.91,4.43,5.48,5643.8,5089.2,6302.5,1446.5,1266.6,1634.3
Gabon,AFRO,GAB,2020,2.12,1.78,2.48,6.8,5.7,7.9,8.03,7.19,8.87,152.9,136.9,169,19.9,17.3,22.6,44.7,39.6,50.1,,9.31,8.36,10.29,207.2,186,229.1,7.18,6.43,7.93,159.8,143.2,176.6,47.8,42.2,53.4
Ghana,AFRO,GHA,2020,2.13,1.75,2.56,88.8,73.1,106.7,10.03,9.08,11.21,2698.6,2443.2,3015.1,382.8,336.2,433.5,928.8,831.6,1038,,12.61,11.4,14.04,3918.5,3541.7,4364,8.97,8.11,10.01,2787.9,2520.1,3110.4,1130.3,1011,1264.6
Guinea,AFRO,GIN,2020,6.07,5.1,7.24,127.4,107.1,151.9,12.83,11.05,14.73,1415.7,1218.8,1625.1,149.1,126.5,175.5,492.7,422.9,571.2,,14.61,12.57,16.79,1918.9,1651.3,2205.3,11.74,10.11,13.53,1541.5,1327.3,1777.4,372.3,319.9,430.9
Guinea-Bissau,AFRO,GNB,2020,2.11,0.41,9.75,6.4,1.3,29.8,9.94,2.17,34.58,165.3,36.1,575,24.1,5.3,80.9,55,11.9,190.8,,11.24,2.45,38.18,221.1,48.1,751.3,8.72,1.9,30.75,171.6,37.4,605.1,48.6,10.8,152
Kenya,AFRO,KEN,2020,0.4,0.33,0.48,27.9,23,33.7,1.85,1.6,2.12,865.1,747,991.3,119.3,101.9,140.1,323.9,279.4,372.7,,2.37,2.04,2.71,1272.8,1099,1458.9,1.66,1.44,1.9,892.5,772.7,1023.7,379.9,329,437.3
